classifier,n,Lhat,trainTime,testTime,iterate
XGB, 500, 0.165300000, 0.510253429, 0.257068872, 2
XGB, 500, 0.165300000, 0.492814541, 0.255752563, 3
XGB, 500, 0.165300000, 0.488803148, 0.260992527, 4
SPORF, 500, 0.122200000, 0.097727537, 0.193453312, 0
SPORF, 500, 0.122200000, 0.098225117, 0.189821959, 1
SPORF, 500, 0.122200000, 0.098195076, 0.173863888, 2
SPORF, 500, 0.122200000, 0.098095894, 0.171534538, 3
SPORF, 500, 0.122200000, 0.098005295, 0.191689491, 4
MF, 500, 0.112700000, 0.157421589, 0.191169977, 0
MF, 500, 0.112700000, 0.157270670, 0.176778078, 1
MF, 500, 0.112700000, 0.157551527, 0.176587105, 2
MF, 500, 0.112700000, 0.164425373, 0.199369192, 3
MF, 500, 0.112700000, 0.157724380, 0.198620796, 4
Log. Reg, 1000, 0.137600000, 1.018133879, 0.013805389, 0
Log. Reg, 1000, 0.137600000, 1.023381948, 0.012699604, 1
Log. Reg, 1000, 0.137600000, 1.041511774, 0.012763262, 2
Log. Reg, 1000, 0.137600000, 0.972292900, 0.015705347, 3
Log. Reg, 1000, 0.137600000, 0.966932774, 0.013233423, 4
Lin. SVM, 1000, 0.211400000, 2.307012320, 0.012768269, 0
Lin. SVM, 1000, 0.211400000, 2.280794382, 0.010183096, 1
Lin. SVM, 1000, 0.211400000, 2.241982937, 0.011036396, 2
Lin. SVM, 1000, 0.211400000, 2.313561916, 0.011068106, 3
Lin. SVM, 1000, 0.211400000, 2.211614609, 0.009994745, 4
SVM, 1000, 0.121700000, 0.791328669, 6.276932001, 0
SVM, 1000, 0.121700000, 0.784893513, 6.280111313, 1
SVM, 1000, 0.121700000, 0.777599812, 6.254396439, 2
SVM, 1000, 0.121700000, 0.778799772, 6.239902735, 3
SVM, 1000, 0.121700000, 0.780027866, 6.240637541, 4
kNN, 1000, 0.166900000, 0.044910192, 2.614003897, 0
kNN, 1000, 0.166900000, 0.059421301, 2.114087582, 1
kNN, 1000, 0.166900000, 0.044775486, 2.509285688, 2
kNN, 1000, 0.166900000, 0.044987917, 2.611290216, 3
kNN, 1000, 0.166900000, 0.044579506, 2.510974646, 4
RF, 1000, 0.098700000, 0.123174191, 0.173671961, 0
RF, 1000, 0.098700000, 0.118643761, 0.177301645, 1
RF, 1000, 0.098700000, 0.118691444, 0.174892187, 2
RF, 1000, 0.098700000, 0.118729115, 0.178694010, 3
RF, 1000, 0.098700000, 0.120261908, 0.161190510, 4
MLP, 1000, 0.114600000, 1.358680010, 0.027123213, 0
MLP, 1000, 0.114600000, 1.234993458, 0.021098375, 1
MLP, 1000, 0.114600000, 1.144519806, 0.021425962, 2
MLP, 1000, 0.114600000, 1.121129751, 0.020251274, 3
MLP, 1000, 0.114600000, 1.134343147, 0.019529819, 4
XGB, 1000, 0.121800000, 0.818530560, 0.281885147, 0
XGB, 1000, 0.121800000, 0.792446375, 0.246137142, 1
XGB, 1000, 0.121800000, 0.761399508, 0.265221834, 2
XGB, 1000, 0.121800000, 0.764566422, 0.245750427, 3
XGB, 1000, 0.121800000, 0.765883446, 0.255055428, 4
SPORF, 1000, 0.097900000, 0.201838732, 0.166736841, 0
SPORF, 1000, 0.097900000, 0.195868731, 0.168050766, 1
SPORF, 1000, 0.097900000, 0.194308996, 0.189909935, 2
SPORF, 1000, 0.097900000, 0.195167303, 0.173897505, 3
SPORF, 1000, 0.097900000, 0.197828531, 0.174131155, 4
MF, 1000, 0.084800000, 0.353725433, 0.173747778, 0
MF, 1000, 0.084800000, 0.343961239, 0.192634821, 1
MF, 1000, 0.084800000, 0.343452692, 0.191754341, 2
MF, 1000, 0.084800000, 0.349693298, 0.196000576, 3
MF, 1000, 0.084800000, 0.347122908, 0.176475048, 4
Log. Reg, 2500, 0.120900000, 2.268210411, 0.014428139, 0
Log. Reg, 2500, 0.120900000, 2.166999817, 0.012921095, 1
Log. Reg, 2500, 0.120900000, 2.137949705, 0.014447927, 2
Log. Reg, 2500, 0.120900000, 2.140632153, 0.012192965, 3
Log. Reg, 2500, 0.120900000, 2.150128603, 0.012948275, 4
Lin. SVM, 2500, 0.196800000, 5.508828163, 0.010906458, 0
Lin. SVM, 2500, 0.197000000, 5.456868172, 0.009918690, 1
Lin. SVM, 2500, 0.197000000, 5.499939919, 0.011617422, 2
Lin. SVM, 2500, 0.197300000, 5.469767570, 0.011460304, 3
Lin. SVM, 2500, 0.196400000, 5.485904455, 0.011474133, 4
SVM, 2500, 0.096800000, 3.222714424, 12.967310190, 0
SVM, 2500, 0.096800000, 3.223073721, 12.984299660, 1
SVM, 2500, 0.096800000, 3.201506853, 12.932263613, 2
SVM, 2500, 0.096800000, 3.203207493, 12.973370552, 3
SVM, 2500, 0.096800000, 3.219495058, 12.962021828, 4
kNN, 2500, 0.124300000, 0.137076139, 5.721797228, 0
kNN, 2500, 0.124300000, 0.137466669, 5.328117371, 1
kNN, 2500, 0.124300000, 0.136868715, 5.330218077, 2
kNN, 2500, 0.124300000, 0.136202335, 3.219041824, 3
kNN, 2500, 0.124300000, 0.142413139, 5.417841673, 4
RF, 2500, 0.072500000, 0.327428102, 0.190173149, 0
RF, 2500, 0.072500000, 0.318131208, 0.162781715, 1
RF, 2500, 0.072500000, 0.315129757, 0.163226128, 2
RF, 2500, 0.072500000, 0.322551012, 0.188972235, 3
RF, 2500, 0.072500000, 0.319289684, 0.165324450, 4
MLP, 2500, 0.088500000, 2.514279366, 0.023953438, 0
MLP, 2500, 0.088500000, 2.444284678, 0.021850586, 1
MLP, 2500, 0.088500000, 2.457926989, 0.021137953, 2
MLP, 2500, 0.088500000, 2.443432093, 0.021826744, 3
MLP, 2500, 0.088500000, 2.498105049, 0.021711111, 4
XGB, 2500, 0.082400000, 1.945944548, 0.266483545, 0
XGB, 2500, 0.082400000, 1.944604635, 0.267899036, 1
XGB, 2500, 0.082400000, 1.932400703, 0.266851187, 2
XGB, 2500, 0.082400000, 1.933118105, 0.265882015, 3
XGB, 2500, 0.082400000, 1.934803963, 0.264441013, 4
SPORF, 2500, 0.073800000, 0.522087097, 0.203405857, 0
SPORF, 2500, 0.073800000, 0.530703545, 0.181216717, 1
SPORF, 2500, 0.073800000, 0.533908129, 0.207815409, 2
SPORF, 2500, 0.073800000, 0.530606747, 0.183241367, 3
SPORF, 2500, 0.073800000, 0.535023212, 0.193361282, 4
MF, 2500, 0.066600000, 0.973255157, 0.198839903, 0
MF, 2500, 0.066600000, 1.004929781, 0.205959082, 1
MF, 2500, 0.066600000, 0.959610224, 0.200512886, 2
MF, 2500, 0.066600000, 0.940749884, 0.202328205, 3
MF, 2500, 0.066600000, 0.952086687, 0.189747810, 4
Log. Reg, 5000, 0.116000000, 3.876842737, 0.015249491, 0
Log. Reg, 5000, 0.116000000, 3.743469477, 0.013438225, 1
Log. Reg, 5000, 0.116000000, 3.750941277, 0.013267994, 2
Log. Reg, 5000, 0.116000000, 3.754407883, 0.014186382, 3
Log. Reg, 5000, 0.116000000, 3.745876312, 0.014161110, 4
Lin. SVM, 5000, 0.182000000, 8.851404905, 0.012762547, 0
Lin. SVM, 5000, 0.181800000, 8.836775064, 0.022789478, 1
Lin. SVM, 5000, 0.181500000, 8.861299276, 0.012296200, 2
Lin. SVM, 5000, 0.182900000, 8.829525471, 0.011430025, 3
Lin. SVM, 5000, 0.182000000, 8.837942362, 0.010717154, 4
SVM, 5000, 0.076600000, 9.126480103, 20.729887724, 0
SVM, 5000, 0.076600000, 9.087842464, 20.756643295, 1
SVM, 5000, 0.076600000, 9.093769073, 20.736674547, 2
SVM, 5000, 0.076600000, 9.093734503, 20.763065577, 3
SVM, 5000, 0.076600000, 9.098731995, 20.741363525, 4
kNN, 5000, 0.104900000, 0.326212168, 9.327660084, 0
kNN, 5000, 0.104900000, 0.326065779, 10.127163649, 1
kNN, 5000, 0.104900000, 0.328909874, 12.741966724, 2
kNN, 5000, 0.104900000, 0.327177763, 10.035413504, 3
kNN, 5000, 0.104900000, 0.329327345, 9.122486830, 4
RF, 5000, 0.062800000, 0.693355799, 0.168169260, 0
RF, 5000, 0.062800000, 0.676021814, 0.177139521, 1
RF, 5000, 0.062800000, 0.677473068, 0.164092302, 2
RF, 5000, 0.062800000, 0.674936295, 0.195935488, 3
RF, 5000, 0.062800000, 0.674974680, 0.183130980, 4
MLP, 5000, 0.071100000, 4.181702614, 0.024122953, 0
MLP, 5000, 0.071100000, 4.085880041, 0.022665739, 1
MLP, 5000, 0.071100000, 4.109816790, 0.022643566, 2
MLP, 5000, 0.071100000, 4.086729527, 0.026643753, 3
MLP, 5000, 0.071100000, 4.099963903, 0.020888567, 4
XGB, 5000, 0.065900000, 4.107407331, 0.266227007, 0
XGB, 5000, 0.065900000, 4.101396322, 0.273343086, 1
XGB, 5000, 0.065900000, 4.099124432, 0.267076015, 2
XGB, 5000, 0.065900000, 4.076815367, 0.264471054, 3
XGB, 5000, 0.065900000, 4.075324774, 0.265328884, 4
SPORF, 5000, 0.062600000, 1.165266037, 0.182482481, 0
SPORF, 5000, 0.062600000, 1.130638361, 0.179179430, 1
SPORF, 5000, 0.062600000, 1.128080606, 0.196788549, 2
SPORF, 5000, 0.062600000, 1.131420374, 0.199341536, 3
SPORF, 5000, 0.062600000, 1.128199577, 0.201304436, 4
MF, 5000, 0.056000000, 2.220433235, 0.201797485, 0
MF, 5000, 0.056000000, 2.227695227, 0.197949409, 1
MF, 5000, 0.056000000, 2.224783421, 0.208992958, 2
MF, 5000, 0.056000000, 2.169011593, 0.186770678, 3
MF, 5000, 0.056000000, 2.163046360, 0.211297274, 4
Log. Reg, 10000, 0.122600000, 9.041864634, 0.015968323, 0
Log. Reg, 10000, 0.122600000, 8.963027000, 0.013232470, 1
Log. Reg, 10000, 0.122600000, 8.916673660, 0.012530804, 2
Log. Reg, 10000, 0.122600000, 8.945490360, 0.013116598, 3
Log. Reg, 10000, 0.122600000, 8.892843962, 0.013700247, 4
Lin. SVM, 10000, 0.141300000, 25.375756025, 0.010943174, 0
Lin. SVM, 10000, 0.141900000, 25.466603756, 0.009742260, 1
Lin. SVM, 10000, 0.141300000, 25.306335926, 0.009993315, 2
Lin. SVM, 10000, 0.141400000, 25.542133570, 0.011427402, 3
Lin. SVM, 10000, 0.143200000, 25.480698109, 0.009922981, 4
SVM, 10000, 0.062100000, 26.561001301, 33.318909645, 0
SVM, 10000, 0.062100000, 26.564233780, 33.427624941, 1
SVM, 10000, 0.062100000, 26.706214428, 34.110936642, 2
SVM, 10000, 0.062100000, 26.734476805, 33.507738113, 3
SVM, 10000, 0.062100000, 26.709901094, 34.135152340, 4
kNN, 10000, 0.087100000, 0.832161188, 26.876470804, 0
kNN, 10000, 0.087100000, 0.844563484, 17.563018560, 1
kNN, 10000, 0.087100000, 0.919502020, 11.949899912, 2
kNN, 10000, 0.087100000, 0.872973680, 31.790342093, 3
kNN, 10000, 0.087100000, 0.859925032, 17.412586451, 4
RF, 10000, 0.050800000, 1.499945164, 0.187595367, 0
RF, 10000, 0.050800000, 1.481220961, 0.181502581, 1
RF, 10000, 0.050800000, 1.496115446, 0.173167706, 2
RF, 10000, 0.050800000, 1.497708559, 0.184951782, 3
RF, 10000, 0.050800000, 1.472165108, 0.183006287, 4
MLP, 10000, 0.055900000, 7.175244570, 0.023168802, 0
MLP, 10000, 0.055900000, 7.126993179, 0.023772955, 1
MLP, 10000, 0.055900000, 7.129339218, 0.021732330, 2
MLP, 10000, 0.055900000, 7.072772264, 0.030246496, 3
MLP, 10000, 0.055900000, 7.377654314, 0.021533012, 4
XGB, 10000, 0.049700000, 8.994084358, 0.269612312, 0
XGB, 10000, 0.049700000, 8.971790791, 0.268457890, 1
XGB, 10000, 0.049700000, 9.050911427, 0.256602526, 2
XGB, 10000, 0.049700000, 9.031136513, 0.259451628, 3
XGB, 10000, 0.049700000, 8.975981474, 0.261792183, 4
SPORF, 10000, 0.051600000, 2.451559067, 0.207465649, 0
SPORF, 10000, 0.051600000, 2.454559803, 0.189929485, 1
SPORF, 10000, 0.051600000, 2.480901003, 0.206837654, 2
SPORF, 10000, 0.051600000, 2.469159365, 0.189660549, 3
SPORF, 10000, 0.051600000, 2.387965918, 0.210115671, 4
MF, 10000, 0.046800000, 4.626412153, 0.210196495, 0
MF, 10000, 0.046800000, 4.649817228, 0.228785515, 1
MF, 10000, 0.046800000, 4.714993238, 0.216036558, 2
MF, 10000, 0.046800000, 4.713023901, 0.212280989, 3
MF, 10000, 0.046800000, 4.748045921, 0.214697123, 4
Log. Reg, 30000, 0.098600000, 27.432537317, 0.014684200, 0
Log. Reg, 30000, 0.098600000, 27.095763445, 0.013017178, 1
Log. Reg, 30000, 0.098600000, 27.039468050, 0.011761189, 2
Log. Reg, 30000, 0.098600000, 26.950104952, 0.014812708, 3
Log. Reg, 30000, 0.098600000, 26.946969271, 0.011746883, 4
Lin. SVM, 30000, 0.106800000, 175.992883205, 0.011372805, 0
Lin. SVM, 30000, 0.105800000, 177.363401175, 0.012451172, 1
Lin. SVM, 30000, 0.105600000, 176.993171692, 0.011774063, 2
Lin. SVM, 30000, 0.103400000, 179.273092031, 0.011625051, 3
Lin. SVM, 30000, 0.106400000, 178.171561003, 0.011485100, 4
SVM, 30000, 0.045800000, 167.652724504, 77.138866186, 0
SVM, 30000, 0.045800000, 167.731284142, 77.186208248, 1
SVM, 30000, 0.045800000, 167.557192326, 77.055536270, 2
SVM, 30000, 0.045800000, 167.825609207, 77.221688271, 3
SVM, 30000, 0.045800000, 167.879772425, 77.361255407, 4
kNN, 30000, 0.065200000, 4.009397745, 54.651922941, 0
kNN, 30000, 0.065200000, 3.967598915, 48.441042185, 1
kNN, 30000, 0.065200000, 4.056525946, 49.895643711, 2
kNN, 30000, 0.065200000, 4.090207338, 48.252195597, 3
kNN, 30000, 0.065200000, 4.171278477, 49.364190340, 4
RF, 30000, 0.037100000, 5.009452581, 0.192550659, 0
RF, 30000, 0.037100000, 5.088325500, 0.203234911, 1
RF, 30000, 0.037100000, 5.120718002, 0.180249453, 2
RF, 30000, 0.037100000, 5.033335447, 0.172922373, 3
RF, 30000, 0.037100000, 4.964309931, 0.178908587, 4
MLP, 30000, 0.035100000, 16.727214098, 0.022783041, 0
MLP, 30000, 0.035100000, 16.534735918, 0.023230076, 1
MLP, 30000, 0.035100000, 18.856243849, 0.021282196, 2
MLP, 30000, 0.035100000, 16.544465303, 0.020294666, 3
MLP, 30000, 0.035100000, 16.360679388, 0.020028830, 4
XGB, 30000, 0.028500000, 31.433083057, 0.276492357, 0
XGB, 30000, 0.028500000, 31.521417618, 0.275109768, 1
XGB, 30000, 0.028500000, 31.643816471, 0.276926279, 2
XGB, 30000, 0.028500000, 31.577075720, 0.264526606, 3
XGB, 30000, 0.028500000, 31.656071901, 0.268286943, 4
SPORF, 30000, 0.038300000, 7.747959852, 0.240343809, 0
SPORF, 30000, 0.038300000, 7.906278133, 0.437402964, 1
SPORF, 30000, 0.038300000, 8.161249876, 0.431855679, 2
SPORF, 30000, 0.038300000, 7.903457642, 0.223869324, 3
SPORF, 30000, 0.038300000, 8.131368399, 0.222747564, 4
MF, 30000, 0.033400000, 16.938824654, 0.286516666, 0
MF, 30000, 0.033400000, 17.222547054, 0.295528650, 1
MF, 30000, 0.033400000, 16.769993067, 0.270155191, 2
MF, 30000, 0.033400000, 17.413267374, 0.265265942, 3
MF, 30000, 0.033400000, 17.652450085, 0.266073704, 4
Log. Reg, 60000, 0.083300000, 55.316883802, 0.014889240, 0
Log. Reg, 60000, 0.083300000, 55.274682760, 0.014016390, 1
Log. Reg, 60000, 0.083300000, 55.067033052, 0.013050318, 2
Log. Reg, 60000, 0.083300000, 55.813201666, 0.014016151, 3
Log. Reg, 60000, 0.083300000, 55.724550724, 0.012811661, 4
Lin. SVM, 60000, 0.098300000, 474.811261654, 0.013144970, 0
Lin. SVM, 60000, 0.096500000, 476.386380911, 0.013162136, 1
Lin. SVM, 60000, 0.095400000, 476.345229149, 0.011470079, 2
Lin. SVM, 60000, 0.095600000, 478.065087557, 0.012803316, 3
Lin. SVM, 60000, 0.099800000, 475.246456146, 0.011667013, 4
